city,long,lat
"Mumbai",72.83333,18.96667
"Delhi",77.123767,28.653458
"Bangalore",77.59796,12.96991
"Hyderabad",78.46667,17.36667
"Ahmedabad",72.58,23.03
"Chennai",80.27,13.09
"Kolkata",88.33778,22.54111
"Surat",72.83,21.17
"Pune",73.84778,18.52361
"Jaipur",75.86667,26.91667
"Lucknow",80.91583,26.86056
"Kanpur",80.33111,26.4725
"Nagpur",79.08306,21.15389
"Visakhapatnam",83.25,17.7
"Indore",75.84722,22.72056
"Thane",72.97,19.2
"Bhopal",77.41667,23.25
"Pimpri-Chinchwad",73.757225,18.695734
"Patna",85.14139,25.61
"Vadodara",73.2,22.3
"Ghaziabad",77.41667,28.66667
"Ludhiana",75.84861,30.90833
"Coimbatore",76.96667,11
"Agra",78.02,27.18
"Madurai",78.11939,9.91966